Latitude,Longitude,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
40.86103107825989,-73.9262755372,0,0,1,3,0,6,4,3,3
40.827578479376896,-73.9459042825,0,0,1,1,3,6,4,3,3
40.68425166798331,-73.7819691252,1,2,0,2,2,5,5,2,8
40.87544146304187,-73.873365146,0,0,1,3,0,1,0,0,1
40.74643145366832,-73.9050336626,0,2,3,1,1,2,2,7,6
40.80979097825507,-73.9423532991,0,0,1,1,3,6,4,3,3
40.661441759511746,-73.9526169841,1,1,3,0,5,0,3,1,0
40.638629512207544,-73.9588269727,1,1,3,0,5,0,6,1,0
40.82183568302372,-73.9501073215,0,0,1,1,3,6,4,3,3
40.61066902990479,-73.9534705907,1,1,2,0,5,0,6,1,9
40.7446447233121,-73.8737075949,0,2,0,2,1,2,2,7,6
40.644428178340824,-73.9638177744,1,1,3,0,5,0,6,1,0
40.677581948001574,-73.9483297017,1,1,3,0,1,0,3,4,0
40.818200109785636,-73.8229879231,0,0,1,3,0,1,0,0,1
40.831983298228174,-73.9212920371,0,0,1,3,0,6,4,3,3
40.8245945314593,-73.8772991399,0,0,1,3,0,1,0,0,1
40.83932541436865,-73.9173838378,0,0,1,3,0,6,4,3,3
40.68195782750632,-73.893465361,1,2,3,0,1,2,3,4,2
40.686625363275965,-73.9469849685,1,1,3,0,1,2,3,4,0
40.848493527336174,-73.9224725167,0,0,1,3,0,6,4,3,3
40.70278560500338,-73.9100801655,1,2,3,0,1,2,3,4,2
40.73973621933874,-73.9813363058,1,1,3,1,3,3,7,5,5
40.79754232809539,-73.9390808369,0,0,1,1,3,6,4,3,3
40.68489990178792,-73.9163204022,1,1,3,0,1,2,3,4,2
40.66533523027576,-73.933254027,1,1,3,0,1,2,3,4,0
40.72606049401005,-73.8134697686,1,2,0,2,2,5,2,2,8
40.84670830014817,-73.9061230171,0,0,1,3,0,1,0,0,1
40.68355148639257,-73.792211242,1,2,0,2,2,5,5,2,8
40.818748483608275,-73.9068416825,0,0,1,3,0,6,4,3,3
40.692088082362936,-73.8149206774,1,2,0,2,2,5,5,2,8
40.851688780543796,-73.9080896023,0,0,1,3,0,1,0,0,1
40.86885885404517,-73.9219462032,0,0,1,3,0,1,0,0,1
40.83373858827456,-73.9155369456,0,0,1,3,0,6,4,3,3
40.624705444924665,-74.0817777196,1,1,2,4,4,4,1,8,4
40.836021375853456,-73.830153717,0,0,1,3,0,1,0,0,1
40.688166549907336,-73.9337395927,1,1,3,0,1,2,3,4,2
40.74667088963047,-73.8767389079,0,2,0,2,1,2,2,7,6
40.727110499687754,-73.861159996,1,2,0,2,1,2,2,7,6
40.85814778477665,-73.9055790758,0,0,1,3,0,1,0,0,1
40.82698354222296,-73.9045898843,0,0,1,3,0,6,4,3,3
40.82921170820606,-73.9006949953,0,0,1,3,0,1,4,3,3
40.83321981002435,-73.8685851126,0,0,1,3,0,1,0,0,1
40.886039937848494,-73.860155405,0,0,1,3,0,1,0,0,1
40.74643145366832,-73.9050336626,0,2,3,1,1,2,2,7,6
40.65957556772453,-73.9605765312,1,1,3,0,5,0,6,1,0
40.70928515764259,-73.775419954,1,2,0,2,2,5,5,2,8
40.65213936761837,-73.8830149096,1,2,3,0,1,2,3,4,2
40.69417823381243,-73.9069075531,1,2,3,0,1,2,3,4,2
40.734920885479596,-73.8624499433,1,2,0,2,1,2,2,7,6
40.8245945314593,-73.8772991399,0,0,1,3,0,1,0,0,1
40.89764483106377,-73.8537973059,0,0,1,3,0,1,0,0,1
40.86368168466244,-73.9209616793,0,0,1,3,0,1,4,0,1
40.66537436655783,-73.9174298764,1,1,3,0,1,2,3,4,2
40.68754666412836,-73.9066571953,1,1,3,0,1,2,3,4,2
40.829029075194065,-73.8871484506,0,0,1,3,0,1,0,0,1
40.86022415733802,-73.9039240077,0,0,1,3,0,1,0,0,1
40.70541343364703,-73.9316197169,1,1,3,0,1,2,3,4,2
40.85711476477292,-73.9313299952,0,0,1,3,0,6,4,3,3
40.859443761094745,-73.8935172608,0,0,1,3,0,1,0,0,1
40.879160635019176,-73.8685557831,0,0,1,3,0,1,0,0,1
40.838152880994976,-73.9438610349,0,0,1,3,0,6,4,3,3
40.681665387634794,-73.9185129764,1,1,3,0,1,2,3,4,2
